[Batch 1] HTTP Error: 0, Network Error: 0, Not Found: 6, Rate Limit: 86, Success Rate: 83.09%
[Batch 2] HTTP Error: 0, Network Error: 0, Not Found: 6, Rate Limit: 1086, Success Rate: 0.00%
[Batch 3] HTTP Error: 0, Network Error: 0, Not Found: 7, Rate Limit: 1986, Success Rate: 4.73%
[Batch 4] HTTP Error: 0, Network Error: 16, Not Found: 8, Rate Limit: 2156, Success Rate: 27.16%
[Batch 5] HTTP Error: 0, Network Error: 16, Not Found: 8, Rate Limit: 3156, Success Rate: 0.00%
[Batch 6] HTTP Error: 0, Network Error: 16, Not Found: 9, Rate Limit: 4106, Success Rate: 1.17%
[Batch 7] HTTP Error: 0, Network Error: 16, Not Found: 11, Rate Limit: 4702, Success Rate: 7.83%
[Batch 8] HTTP Error: 0, Network Error: 16, Not Found: 11, Rate Limit: 5702, Success Rate: 0.00%
[Batch 9] HTTP Error: 0, Network Error: 16, Not Found: 11, Rate Limit: 6242, Success Rate: 6.84%
[Batch 10] HTTP Error: 0, Network Error: 16, Not Found: 11, Rate Limit: 7242, Success Rate: 0.00%
[Batch 11] HTTP Error: 0, Network Error: 16, Not Found: 11, Rate Limit: 8092, Success Rate: 1.81%
[Batch 12] HTTP Error: 0, Network Error: 16, Not Found: 11, Rate Limit: 8783, Success Rate: 3.39%
[Batch 13] HTTP Error: 0, Network Error: 16, Not Found: 11, Rate Limit: 9783, Success Rate: 0.00%
[Batch 14] HTTP Error: 0, Network Error: 16, Not Found: 11, Rate Limit: 10329, Success Rate: 4.20%
[Batch 15] HTTP Error: 0, Network Error: 16, Not Found: 11, Rate Limit: 11329, Success Rate: 0.00%
[Batch 16] HTTP Error: 0, Network Error: 16, Not Found: 11, Rate Limit: 12079, Success Rate: 2.02%
[Batch 17] HTTP Error: 0, Network Error: 16, Not Found: 11, Rate Limit: 12877, Success Rate: 1.54%
[Batch 18] HTTP Error: 0, Network Error: 30, Not Found: 11, Rate Limit: 13327, Success Rate: 3.86%
[Batch 19] HTTP Error: 0, Network Error: 33, Not Found: 13, Rate Limit: 13327, Success Rate: 6.93%
[Batch 20] HTTP Error: 0, Network Error: 33, Not Found: 13, Rate Limit: 13897, Success Rate: 2.99%
[Batch 21] HTTP Error: 0, Network Error: 54, Not Found: 14, Rate Limit: 14197, Success Rate: 4.54%
[Batch 22] HTTP Error: 0, Network Error: 54, Not Found: 22, Rate Limit: 14197, Success Rate: 6.50%
[Batch 23] HTTP Error: 0, Network Error: 54, Not Found: 23, Rate Limit: 14495, Success Rate: 4.59%
